Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-01-01,0.7,39.3,0.04,12.6,2.0
2021-01-02,0.6,41.5,0.04,2.6,0.4
2021-01-03,0.3,61.7,0.04,1.9,0.4
2021-01-04,0.6,53.6,0.04,4.1,1.4
2021-01-05,1.0,42.8,0.04,6.4,3.2
2021-01-06,0.4,48.0,0.04,3.8,0.1
2021-01-07,0.7,58.0,0.03,9.8,2.5
2021-01-08,0.6,46.5,0.04,8.4,1.6
2021-01-09,0.6,40.4,0.02,9.2,0.4
2021-01-10,0.5,51.6,0.04,14.3,1.9
2021-01-11,0.8,47.5,0.04,7.7,2.1
2021-01-12,1.0,46.5,0.04,6.1,3.9
2021-01-13,0.7,53.3,0.05,3.9,4.2
2021-01-14,0.3,44.5,0.04,2.9,0.1
2021-01-15,0.5,33.8,0.04,4.3,0.4
2021-01-16,0.4,40.4,0.04,2.7,0.8
2021-01-17,0.3,18.5,0.04,1.8,0.5
2021-01-18,0.3,19.0,0.04,2.0,0.4
2021-01-19,0.5,41.9,0.04,3.9,0.6
2021-01-20,0.5,50.1,0.04,3.1,2.2
2021-01-21,0.6,46.1,0.04,5.4,2.1
2021-01-22,0.7,44.9,0.02,11.1,3.4
2021-01-23,0.7,40.4,0.02,12.7,4.1
2021-01-24,0.3,21.5,0.02,13.1,0.9
2021-01-25,0.3,24.3,0.03,12.9,1.3
2021-01-26,0.3,32.6,0.02,9.7,0.5
2021-01-27,1.0,75.1,0.04,22.8,4.2
2021-01-28,1.8,72.5,0.04,31.8,5.6
2021-01-29,1.3,69.9,0.04,19.5,6.6
2021-01-30,1.1,51.0,0.05,5.8,3.7
2021-01-31,0.6,45.1,0.05,4.6,0.5
2021-02-01,1.2,54.9,0.04,14.3,3.7
2021-02-02,1.2,44.3,0.04,7.3,2.3
2021-02-03,0.6,40.3,0.03,4.0,2.4
2021-02-04,0.3,29.0,0.04,2.1,0.4
2021-02-05,0.3,37.2,0.04,2.2,0.8
2021-02-06,0.3,29.8,0.04,3.3,0.8
2021-02-07,0.5,47.4,0.05,7.0,1.6
2021-02-08,0.4,29.4,0.02,21.1,1.7
2021-02-09,0.4,24.0,0.01,23.6,0.9
2021-02-10,0.4,25.2,0.01,19.9,1.0
2021-02-11,0.4,27.8,0.02,20.1,1.3
2021-02-12,0.3,22.5,0.02,15.2,0.2
2021-02-13,0.3,15.5,0.03,10.5,0.0
