Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-01-01,0.8,35.6,0.03,20.5,0.8
2021-01-02,0.9,30.8,0.03,13.5,0.9
2021-01-03,0.8,25.9,0.03,17.2,0.3
2021-01-04,0.8,35.8,0.03,16.6,0.3
2021-01-05,1.1,34.9,0.02,21.9,0.4
2021-01-06,1.2,39.4,0.02,17.1,0.5
2021-01-07,1.2,47.2,0.02,15.6,0.8
2021-01-08,1.3,53.8,0.01,18.5,0.9
2021-01-09,1.0,43.4,0.03,19.2,0.8
2021-01-10,1.0,35.8,0.04,9.5,0.5
2021-01-11,0.9,43.7,0.03,10.2,0.6
2021-01-12,1.0,45.3,0.02,10.8,0.7
2021-01-13,1.1,44.6,0.02,10.7,0.7
2021-01-14,1.3,51.4,0.02,15.2,0.8
2021-01-15,1.3,53.0,0.03,14.2,1.0
2021-01-16,1.4,56.6,0.03,14.4,1.1
2021-01-17,1.4,45.9,0.04,10.7,0.5
2021-01-18,1.1,37.1,0.04,13.5,0.7
2021-01-19,0.4,32.5,0.04,11.8,0.2
2021-01-20,0.7,41.6,0.04,9.2,0.7
2021-01-21,0.7,41.2,0.03,10.2,0.5
2021-01-22,0.8,34.3,0.04,8.2,0.3
2021-01-23,0.4,23.7,0.03,6.7,0.1
2021-01-24,0.6,22.6,0.04,10.0,0.2
2021-01-25,0.3,23.6,0.04,1.7,0.1
2021-01-26,0.4,37.2,0.03,6.1,0.4
2021-01-27,0.4,33.6,0.03,7.4,0.5
2021-01-28,0.7,33.6,0.04,7.2,0.5
2021-01-29,0.6,29.1,0.03,5.3,0.2
2021-01-30,0.7,29.4,0.04,9.2,0.3
2021-01-31,0.8,37.6,0.04,8.7,0.3
2021-02-01,0.7,49.5,0.02,8.9,0.4
2021-02-02,0.8,38.9,0.03,12.4,0.8
2021-02-03,0.9,30.6,0.03,11.5,0.9
2021-02-04,0.6,39.1,0.03,14.1,0.3
2021-02-05,0.8,38.0,0.04,13.8,0.4
2021-02-06,1.0,47.4,0.04,19.3,0.4
2021-02-07,1.2,40.3,0.04,22.3,0.5
2021-02-08,0.5,31.6,0.04,21.2,0.5
2021-02-09,0.3,22.8,0.04,15.8,0.3
2021-02-10,0.6,39.3,0.04,18.3,0.4
2021-02-11,0.7,36.1,0.04,19.3,0.4
2021-02-12,0.5,36.3,0.04,10.7,1.5
2021-02-13,0.5,25.6,0.04,8.6,0.3
2021-02-14,0.2,5.0,0.04,2.9,0.1
2021-02-15,0.5,29.2,0.03,9.0,0.6
2021-02-16,0.4,27.0,0.04,9.5,0.2
2021-02-17,0.4,31.7,0.04,7.1,0.3
2021-02-18,0.8,38.2,0.04,8.8,0.8
2021-02-19,0.8,40.1,0.04,10.7,0.5
2021-02-20,1.1,37.6,0.04,10.9,0.5
2021-02-21,0.6,41.9,0.05,6.6,0.4
2021-02-22,0.8,46.6,0.04,7.5,0.9
2021-02-23,0.8,45.9,0.04,8.3,0.7
2021-02-24,0.9,52.3,0.05,14.6,0.7
2021-02-25,0.6,45.3,0.04,15.7,0.4
2021-02-26,0.7,44.1,0.04,10.2,0.7
2021-02-27,1.0,42.3,0.04,12.7,0.5
2021-02-28,0.6,42.6,0.05,10.8,0.4
2021-03-01,0.8,44.6,0.04,5.3,0.4
2021-03-02,0.7,39.7,0.04,6.2,0.4
2021-03-03,0.7,39.0,0.04,9.0,0.4
2021-03-04,0.6,34.1,0.05,8.7,0.4
