Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-01-01,1.9,36.0,0.03,74.5,3.0
2021-01-02,1.6,43.0,0.03,32.8,3.0
2021-01-03,0.6,41.0,0.03,23.5,2.0
2021-01-04,0.2,46.0,0.03,16.7,2.0
2021-01-05,0.2,43.0,0.02,22.8,3.0
2021-01-06,1.0,47.0,0.02,16.6,4.0
2021-01-07,1.2,40.0,0.02,20.6,4.0
2021-01-08,1.1,39.0,0.02,29.8,3.0
2021-01-09,0.6,38.0,0.03,25.9,3.0
2021-01-10,0.7,42.0,0.04,26.7,3.0
2021-01-11,0.8,42.0,0.04,11.7,3.0
2021-01-12,1.1,43.0,0.02,12.2,4.0
2021-01-13,1.3,44.0,0.02,19.4,2.0
2021-01-14,1.2,49.0,0.02,21.2,3.0
2021-01-15,1.7,53.0,0.03,17.1,4.0
2021-01-16,1.3,51.0,0.02,24.1,3.0
2021-01-17,1.9,53.0,0.03,29.4,13.0
2021-01-18,1.6,42.0,0.02,17.9,1.0
2021-01-19,0.6,42.0,0.03,8.6,1.0
2021-01-20,0.2,26.0,0.04,5.7,0.0
2021-01-21,0.2,32.0,0.03,3.9,0.0
2021-01-22,0.2,30.5,0.03,5.1,0.0
2021-01-23,0.5,29.0,0.03,8.4,0.0
2021-01-24,0.5,26.0,0.03,5.9,0.0
2021-01-25,0.2,12.0,0.04,3.5,0.0
2021-01-26,0.3,26.0,0.04,4.0,0.0
2021-01-27,0.7,32.0,0.04,4.2,1.0
2021-01-28,0.3,33.0,0.04,5.5,1.0
2021-01-29,0.4,30.0,0.04,5.8,1.0
2021-01-30,0.7,39.0,0.03,16.5,1.0
2021-01-31,1.3,40.0,0.04,21.8,1.0
2021-02-01,0.9,42.0,0.02,12.4,2.0
2021-02-02,1.0,47.0,0.03,10.9,2.0
2021-02-03,0.9,38.0,0.03,12.0,2.0
2021-02-04,0.3,33.0,0.04,10.8,0.0
2021-02-05,0.6,43.0,0.04,9.6,1.0
2021-02-06,0.7,45.0,0.04,17.7,1.0
2021-02-07,0.9,44.0,0.04,19.1,1.0
2021-02-08,0.8,52.0,0.04,16.4,1.0
2021-02-09,0.9,44.0,0.03,10.4,2.0
2021-02-10,0.9,43.0,0.04,11.4,1.0
2021-02-11,1.0,45.0,0.04,13.0,1.0
2021-02-12,0.5,28.0,0.04,9.0,1.0
2021-02-13,0.3,29.0,0.04,6.6,0.0
2021-02-14,0.1,15.0,0.04,5.0,0.0
2021-02-15,0.3,36.0,0.03,7.9,1.0
2021-02-16,0.4,30.0,0.04,5.5,1.0
2021-02-17,0.3,32.0,0.04,3.8,1.0
2021-02-18,0.3,42.0,0.04,4.3,0.0
2021-02-19,0.9,49.0,0.04,12.8,2.0
2021-02-20,1.4,37.0,0.05,12.6,1.0
2021-02-21,0.3,43.0,0.04,7.7,0.0
2021-02-22,0.8,43.0,0.04,10.9,3.0
2021-02-23,1.2,45.0,0.04,9.8,2.0
2021-02-24,0.8,45.0,0.04,14.2,1.0
2021-02-25,0.8,34.0,0.05,8.0,0.0
2021-02-26,0.5,44.0,0.04,11.2,1.0
2021-02-27,0.6,37.0,0.05,13.8,1.0
2021-02-28,0.2,11.0,0.05,3.8,0.0
2021-03-01,0.7,43.0,0.04,9.6,2.0
2021-03-02,0.5,52.0,0.05,10.4,1.0
2021-03-03,0.6,32.0,0.04,8.4,0.0
2021-03-04,0.3,39.0,0.05,6.1,0.0
2021-03-05,0.6,54.0,0.05,11.1,2.0
2021-03-06,0.6,46.0,0.05,8.9,1.0
2021-03-07,0.8,44.0,0.05,9.6,1.0
2021-03-08,0.4,41.0,0.06,6.6,1.0
2021-03-09,0.2,30.0,0.05,7.0,0.0
2021-03-10,0.3,35.0,0.05,7.1,0.0
2021-03-11,0.4,31.0,0.05,4.6,0.0
2021-03-12,0.2,15.0,0.04,3.6,0.0
2021-03-13,0.3,22.0,0.05,4.6,0.0
2021-03-14,0.3,36.0,0.05,9.6,1.0
2021-03-15,0.4,23.0,0.05,7.8,1.0
2021-03-16,0.2,36.0,0.05,7.5,0.0
2021-03-17,0.5,49.0,0.05,8.2,1.0
2021-03-18,0.9,50.0,0.05,13.2,1.0
2021-03-19,0.9,53.0,0.06,11.3,2.0
2021-03-20,0.8,35.0,0.04,9.9,1.0
2021-03-21,0.2,22.0,0.06,6.2,1.0
2021-03-22,0.2,32.0,0.05,3.3,1.0
2021-03-23,0.2,35.0,0.04,5.7,1.0
2021-03-24,0.3,30.0,0.04,6.3,1.0
2021-03-25,0.2,31.0,0.05,5.0,1.0
2021-03-26,0.2,23.0,0.04,4.7,0.0
2021-03-27,0.4,32.0,0.05,6.9,1.0
2021-03-28,0.7,42.0,0.05,9.9,2.0
2021-03-29,1.0,35.0,0.06,7.0,2.0
2021-03-30,0.3,38.0,0.06,6.8,1.0
2021-03-31,0.7,41.0,0.06,10.2,2.0
2021-04-01,0.4,41.0,0.06,9.0,1.0
2021-04-02,0.4,43.0,0.06,8.5,1.0
2021-04-03,0.8,44.0,0.06,9.7,1.0
2021-04-04,0.6,42.0,0.06,11.3,2.0
2021-04-05,0.5,46.0,0.06,12.4,1.0
2021-04-06,0.1,23.0,0.05,6.1,0.0
2021-04-07,0.4,45.0,0.06,6.4,4.0
2021-04-08,0.4,38.0,0.05,7.2,1.0
2021-04-09,0.3,31.0,0.06,14.7,3.0
