Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-01-01,0.3,17.7,0.03,5.5,0.1
2021-01-02,0.2,19.1,0.04,1.3,0.1
2021-01-03,0.3,12.2,0.03,3.0,0.27
2021-01-04,0.3,31.0,0.04,2.2,0.43
2021-01-05,0.5,33.4,0.03,2.9,0.6
2021-01-06,0.6,37.3,0.02,6.0,0.5
2021-01-07,0.7,25.3,0.03,8.7,0.4
2021-01-08,0.8,34.5,0.01,7.0,0.9
2021-01-09,0.8,28.0,0.01,7.0,1.4
2021-01-10,0.6,23.9,0.01,8.2,0.3
2021-01-11,0.4,29.6,0.02,3.2,0.6
2021-01-12,0.4,27.5,0.04,1.6,0.3
2021-01-13,0.6,30.9,0.03,8.6,0.4
2021-01-14,0.8,38.1,0.02,7.7,1.5
2021-01-15,0.6,31.9,0.02,8.2,0.1
2021-01-16,0.7,21.4,0.01,11.3,0.8
2021-01-17,0.7,25.7,0.02,10.6,0.5
2021-01-18,0.3,18.0,0.02,6.4,0.0
2021-01-19,0.7,22.6,0.0,12.9,1.0
2021-01-20,1.0,32.6,0.0,18.8,2.9
2021-01-21,0.6,19.3,0.02,9.5,0.9
2021-01-22,0.3,20.3,0.03,5.1,0.1
2021-01-23,0.5,27.4,0.02,14.1,0.6
2021-01-24,0.5,16.4,0.03,6.5,0.2
2021-01-25,0.5,35.0,0.03,7.0,0.2
2021-01-26,0.5,26.9,0.03,3.6,0.2
2021-01-27,0.6,51.0,0.02,3.5,0.6
2021-01-28,0.4,40.9,0.02,4.2,1.0
2021-01-29,0.6,28.7,0.02,10.7,0.8
2021-01-30,0.4,31.5,0.02,5.5,0.8
2021-01-31,0.4,28.7,0.03,5.4,0.3
2021-02-01,0.4,24.2,0.03,4.0,0.2
2021-02-02,0.3,35.0,0.03,2.6,0.1
2021-02-03,0.5,29.0,0.02,3.5,0.1
2021-02-04,0.4,30.3,0.04,3.9,0.1
2021-02-05,0.4,38.4,0.03,2.7,0.1
2021-02-06,0.3,19.2,0.04,2.5,0.3
2021-02-07,0.3,20.3,0.04,4.5,0.1
2021-02-08,0.5,32.6,0.02,7.0,0.6
2021-02-09,0.4,19.1,0.03,4.7,0.2
2021-02-10,0.6,33.4,0.02,12.0,0.5
2021-02-11,0.5,16.8,0.04,3.8,0.1
2021-02-12,0.3,20.4,0.04,5.3,0.0
2021-02-13,0.3,35.6,0.04,6.9,0.1
2021-02-14,0.2,15.5,0.04,4.7,0.1
2021-02-15,0.4,37.1,0.03,4.1,0.2
2021-02-16,0.5,44.0,0.02,6.5,0.2
2021-02-17,0.6,38.0,0.03,6.0,0.3
2021-02-18,0.6,47.2,0.03,6.2,0.6
2021-02-19,0.4,31.7,0.03,4.8,0.2
2021-02-20,0.4,28.4,0.04,3.4,0.2
2021-02-21,0.3,12.0,0.04,1.0,0.0
2021-02-22,0.4,24.8,0.04,2.3,0.2
2021-02-23,0.4,42.5,0.04,3.5,0.2
2021-02-24,0.6,37.3,0.03,8.8,0.5
2021-02-25,0.5,33.7,0.03,4.9,0.3
2021-02-26,0.5,39.8,0.03,4.0,0.4
2021-02-27,0.5,31.7,0.03,7.7,0.2
2021-02-28,0.4,21.9,0.03,4.0,0.1
2021-03-01,0.5,30.5,0.02,6.8,1.0
2021-03-02,0.4,23.2,0.02,4.2,0.3
2021-03-03,0.7,43.7,0.02,13.1,1.9
2021-03-04,0.6,36.1,0.03,11.1,0.4
2021-03-05,0.4,34.5,0.04,7.2,0.4
2021-03-06,0.4,19.3,0.04,3.9,0.3
2021-03-07,0.4,18.4,0.04,3.2,0.1
2021-03-08,0.6,37.4,0.02,6.2,0.8
2021-03-09,0.5,36.9,0.03,7.9,1.7
2021-03-10,0.4,21.7,0.04,6.5,0.6
2021-03-11,0.6,32.9,0.03,7.9,0.4
2021-03-12,0.8,50.3,0.02,14.6,1.8
2021-03-13,0.7,46.8,0.04,14.7,0.6
2021-03-14,0.6,29.3,0.04,10.2,0.4
2021-03-15,0.4,32.9,0.04,3.9,0.2
2021-03-16,0.7,36.5,0.03,9.7,1.7
2021-03-17,0.7,36.4,0.02,12.0,2.1
2021-03-18,0.6,31.4,0.04,9.5,1.2
2021-03-19,0.4,32.3,0.04,3.8,0.3
2021-03-20,0.3,19.8,0.04,3.7,0.2
2021-03-21,0.3,20.1,0.04,3.4,0.1
2021-03-22,0.4,25.1,0.04,3.5,0.3
2021-03-23,0.6,36.6,0.03,8.1,1.1
2021-03-24,0.4,25.6,0.03,0.9,0.2
2021-03-25,0.4,30.7,0.04,4.4,0.2
2021-03-26,0.4,33.3,0.04,8.6,0.2
2021-03-27,0.4,27.0,0.04,10.7,0.3
2021-03-28,0.4,22.4,0.04,3.3,0.3
2021-03-29,0.4,33.2,0.04,5.4,0.3
2021-03-30,0.5,32.1,0.04,9.0,0.5
2021-03-31,0.6,38.4,0.03,8.0,0.4
2021-04-01,0.6,39.7,0.04,12.9,2.5
2021-04-02,0.5,33.2,0.04,8.2,0.4
2021-04-03,0.5,30.8,0.04,9.1,0.7
2021-04-04,0.3,16.5,0.04,1.3,0.1
2021-04-05,0.6,44.4,0.04,7.7,1.4
2021-04-06,0.5,44.3,0.03,8.5,1.0
2021-04-07,0.4,27.0,0.04,3.7,0.2
2021-04-08,0.4,25.2,0.04,3.6,0.5
2021-04-09,0.4,26.8,0.04,4.5,0.3
2021-04-10,0.3,15.8,0.04,2.4,0.5
2021-04-11,0.3,15.0,0.04,4.0,0.2
2021-04-12,0.4,15.2,0.04,3.5,0.2
2021-04-13,0.3,20.2,0.05,2.9,0.1
2021-04-14,0.4,22.4,0.05,3.1,0.2
2021-04-15,0.5,39.6,0.04,7.1,1.1
2021-04-16,0.5,47.7,0.04,9.3,0.9
2021-04-17,0.7,55.9,0.04,12.7,0.6
2021-04-18,0.6,39.4,0.05,19.4,2.4
2021-04-19,0.5,49.4,0.05,8.9,1.3
2021-04-20,0.5,41.9,0.05,9.0,1.0
2021-04-21,0.5,37.9,0.04,10.2,1.2
2021-04-22,0.4,25.3,0.04,9.1,0.5
2021-04-23,0.4,25.9,0.04,8.1,0.3
2021-04-24,0.3,18.0,0.04,4.4,0.3
2021-04-25,0.4,19.8,0.04,2.2,0.3
2021-04-26,0.4,34.1,0.04,3.9,0.3
